"sum_stat" "condition" "response" "model" "len"
"235" "fast_mean" 40 "lower" "independent" 488
"236" "fast_mean" 40 "lower" "normal" 505
"237" "fast_mean" 40 "lower" "t" 507
"238" "fast_mean" 40 "upper" "independent" 418
"239" "fast_mean" 40 "upper" "normal" 421
"240" "fast_mean" 40 "upper" "t" 423
"241" "fast_mean" 41 "lower" "independent" 494
"242" "fast_mean" 41 "lower" "normal" 514
"243" "fast_mean" 41 "lower" "t" 506
"244" "fast_mean" 41 "upper" "independent" 381
"245" "fast_mean" 41 "upper" "normal" 385
"246" "fast_mean" 41 "upper" "t" 386
"247" "fast_mean" 42 "lower" "independent" 492
"248" "fast_mean" 42 "lower" "normal" 505
"249" "fast_mean" 42 "lower" "t" 507
"250" "fast_mean" 42 "upper" "independent" 346
"251" "fast_mean" 42 "upper" "normal" 347
"252" "fast_mean" 42 "upper" "t" 348
"253" "fast_mean" 43 "lower" "independent" 33
"254" "fast_mean" 43 "lower" "normal" 33
"255" "fast_mean" 43 "lower" "t" 33
"256" "fast_mean" 43 "upper" "independent" 39
"257" "fast_mean" 43 "upper" "normal" 39
"258" "fast_mean" 43 "upper" "t" 39
"259" "fast_mean" 44 "lower" "independent" 33
"260" "fast_mean" 44 "lower" "normal" 33
"261" "fast_mean" 44 "lower" "t" 33
"262" "fast_mean" 44 "upper" "independent" 38
"263" "fast_mean" 44 "upper" "normal" 38
"264" "fast_mean" 44 "upper" "t" 38
"265" "fast_mean" 45 "lower" "independent" 31
"266" "fast_mean" 45 "lower" "normal" 32
"267" "fast_mean" 45 "lower" "t" 32
"268" "fast_mean" 45 "upper" "independent" 37
"269" "fast_mean" 45 "upper" "normal" 37
"270" "fast_mean" 45 "upper" "t" 37
"271" "fast_mean" 46 "lower" "independent" 30
"272" "fast_mean" 46 "lower" "normal" 30
"273" "fast_mean" 46 "lower" "t" 30
"274" "fast_mean" 46 "upper" "independent" 35
"275" "fast_mean" 46 "upper" "normal" 35
"276" "fast_mean" 46 "upper" "t" 35
"277" "fast_mean" 47 "lower" "independent" 28
"278" "fast_mean" 47 "lower" "normal" 28
"279" "fast_mean" 47 "lower" "t" 28
"280" "fast_mean" 47 "upper" "independent" 32
"281" "fast_mean" 47 "upper" "normal" 32
"282" "fast_mean" 47 "upper" "t" 32
"283" "fast_mean" 48 "lower" "independent" 24
"284" "fast_mean" 48 "lower" "normal" 25
"285" "fast_mean" 48 "lower" "t" 25
"286" "fast_mean" 48 "upper" "independent" 29
"287" "fast_mean" 48 "upper" "normal" 29
"288" "fast_mean" 48 "upper" "t" 29
"289" "fast_mean" 49 "lower" "independent" 458
"290" "fast_mean" 49 "lower" "normal" 493
"291" "fast_mean" 49 "lower" "t" 494
"292" "fast_mean" 49 "upper" "independent" 498
"293" "fast_mean" 49 "upper" "normal" 525
"294" "fast_mean" 49 "upper" "t" 522
"295" "fast_mean" 50 "lower" "independent" 472
